time_stamp_local,turbine_id,month,wind_speed,turbulence_intensity
2023-01-01 00:00:00,BHR-001,Jan,5.903111115031772,0.01868607886418042
2023-01-01 00:15:00,BHR-001,Jan,5.8972222338782405,0.026316895604179706
2023-01-01 00:30:00,BHR-001,Jan,5.415777803526984,0.023299454352609116
2023-01-01 00:45:00,BHR-001,Jan,5.303222195837233,0.02533830333016209
2023-01-01 01:00:00,BHR-001,Jan,5.44400003751119,0.01589348437013524
2023-01-01 01:15:00,BHR-001,Jan,5.6105555650923,0.026220809873321125
2023-01-01 01:30:00,BHR-001,Jan,5.523333329624601,0.02754628323792587
2023-01-01 01:45:00,BHR-001,Jan,6.292444445821974,0.044016580897904924
2023-01-01 02:00:00,BHR-001,Jan,6.125111091401843,0.064480872894641
2023-01-01 02:15:00,BHR-001,Jan,6.13344444380866,0.03857716254635967
2023-01-01 02:30:00,BHR-001,Jan,6.184777790175544,0.04018563648004101
2023-01-01 02:45:00,BHR-001,Jan,6.16411111884647,0.017867130614978848
2023-01-01 03:00:00,BHR-001,Jan,5.72733334965176,0.048320614966074156
2023-01-01 03:15:00,BHR-001,Jan,6.0701111311382725,0.04500922528277776
2023-01-01 03:30:00,BHR-001,Jan,6.533888900015089,0.02450150313170115
2023-01-01 03:45:00,BHR-001,Jan,6.983999988238016,0.04781242719867518
2023-01-01 04:00:00,BHR-001,Jan,7.735222231547039,0.014435411220681198
2023-01-01 04:15:00,BHR-001,Jan,7.540777781274585,0.05568695321709472
2023-01-01 04:30:00,BHR-001,Jan,7.639777777459886,0.04374060696666124
2023-01-01 04:45:00,BHR-001,Jan,8.504111073282031,0.04860235669122736
2023-01-01 05:00:00,BHR-001,Jan,8.549666679170397,0.026839328759106003
2023-01-01 05:15:00,BHR-001,Jan,7.146666687329611,0.052109252757693396
2023-01-01 05:30:00,BHR-001,Jan,7.376888900332982,0.026939398072077864
2023-01-01 05:45:00,BHR-001,Jan,7.5302221981684365,0.015491965903409916
2023-01-01 06:00:00,BHR-001,Jan,6.97566663953993,0.06334905879154056
2023-01-01 06:15:00,BHR-001,Jan,6.682888880305819,0.02432618775570621
2023-01-01 06:30:00,BHR-001,Jan,6.56122222794427,0.02968368063763601
2023-01-01 06:45:00,BHR-001,Jan,6.683777745564779,0.042783997943313654
2023-01-01 07:00:00,BHR-001,Jan,6.754333311186896,0.034011805510741844
2023-01-01 07:15:00,BHR-001,Jan,7.253444440629749,0.0335111163978384
2023-01-01 07:30:00,BHR-001,Jan,7.05944444126553,0.027624685388400273
2023-01-01 07:45:00,BHR-001,Jan,7.059222252633839,0.016026317516660418
2023-01-01 08:00:00,BHR-001,Jan,7.00422222773234,0.029267765629705005
2023-01-01 08:15:00,BHR-001,Jan,7.378555557462905,0.02125772263222707
2023-01-01 08:30:00,BHR-001,Jan,6.908111107614306,0.051582097401779076
2023-01-01 08:45:00,BHR-001,Jan,6.175222216182286,0.06374104986000755
2023-01-01 09:00:00,BHR-001,Jan,5.906000000105965,0.028466303459375508
2023-01-01 09:15:00,BHR-001,Jan,5.415888888570999,0.0443323492567564
2023-01-01 09:30:00,BHR-001,Jan,4.88166670348909,0.1019155288101004
2023-01-01 09:45:00,BHR-001,Jan,4.795222214592829,0.1741192661611899
2023-01-01 10:00:00,BHR-001,Jan,5.1867777646912465,0.11862964448780405
2023-01-01 10:15:00,BHR-001,Jan,4.871777764956155,0.14039348850068584
2023-01-01 10:30:00,BHR-001,Jan,5.459555563926697,0.07365274670995116
